"collection1"
"Symbol.text","Symbol.href","Opinion"
"CIR","http://www.barchart.com/quotes/stocks/CIR","56% Buy"
"CJES","http://www.barchart.com/quotes/stocks/CJES","32% Sell"
"CKEC","http://www.barchart.com/quotes/stocks/CKEC","80% Sell"
"CKH","http://www.barchart.com/quotes/stocks/CKH","64% Sell"
"CKP","http://www.barchart.com/quotes/stocks/CKP","40% Sell"
"CLC","http://www.barchart.com/quotes/stocks/CLC","56% Buy"
"CLCT","http://www.barchart.com/quotes/stocks/CLCT","16% Sell"
"CLD","http://www.barchart.com/quotes/stocks/CLD","16% Sell"
"CLDT","http://www.barchart.com/quotes/stocks/CLDT","88% Buy"
"CLDX","http://www.barchart.com/quotes/stocks/CLDX","32% Sell"
"CLFD","http://www.barchart.com/quotes/stocks/CLFD","48% Sell"
"CLI","http://www.barchart.com/quotes/stocks/CLI","48% Sell"
"CLMS","http://www.barchart.com/quotes/stocks/CLMS","80% Buy"
"CLNE","http://www.barchart.com/quotes/stocks/CLNE","72% Sell"
"CLNY","http://www.barchart.com/quotes/stocks/CLNY","80% Buy"
"CLVS","http://www.barchart.com/quotes/stocks/CLVS","16% Buy"
"CLW","http://www.barchart.com/quotes/stocks/CLW","56% Buy"
"CMC","http://www.barchart.com/quotes/stocks/CMC","Hold"
"CMCO","http://www.barchart.com/quotes/stocks/CMCO","64% Buy"
"CMLS","http://www.barchart.com/quotes/stocks/CMLS","32% Sell"
"CMN","http://www.barchart.com/quotes/stocks/CMN","80% Buy"
"CMO","http://www.barchart.com/quotes/stocks/CMO","32% Sell"
"CMRX","http://www.barchart.com/quotes/stocks/CMRX","72% Buy"
"CMTL","http://www.barchart.com/quotes/stocks/CMTL","96% Buy"
"CNBKA","http://www.barchart.com/quotes/stocks/CNBKA","96% Buy"
"CNL","http://www.barchart.com/quotes/stocks/CNL","8% Buy"
"CNMD","http://www.barchart.com/quotes/stocks/CNMD","48% Buy"
"CNO","http://www.barchart.com/quotes/stocks/CNO","40% Buy"
"CNOB","http://www.barchart.com/quotes/stocks/CNOB","8% Sell"
"CNS","http://www.barchart.com/quotes/stocks/CNS","72% Buy"
"CNSI","http://www.barchart.com/quotes/stocks/CNSI","32% Sell"
"CNSL","http://www.barchart.com/quotes/stocks/CNSL","64% Buy"
"CNVR","http://www.barchart.com/quotes/stocks/CNVR","72% Buy"
"COB","http://www.barchart.com/quotes/stocks/COB","64% Buy"
"COBZ","http://www.barchart.com/quotes/stocks/COBZ","88% Buy"
"CODE","http://www.barchart.com/quotes/stocks/CODE","24% Buy"
"COHR","http://www.barchart.com/quotes/stocks/COHR","64% Sell"
"COHU","http://www.barchart.com/quotes/stocks/COHU","16% Buy"
"COKE","http://www.barchart.com/quotes/stocks/COKE","80% Buy"
"COLB","http://www.barchart.com/quotes/stocks/COLB","72% Buy"
"COLM","http://www.barchart.com/quotes/stocks/COLM","72% Buy"
"CONE","http://www.barchart.com/quotes/stocks/CONE","40% Buy"
"CONN","http://www.barchart.com/quotes/stocks/CONN","16% Buy"
"COR","http://www.barchart.com/quotes/stocks/COR","72% Buy"
"CORE","http://www.barchart.com/quotes/stocks/CORE","88% Buy"
"CORR","http://www.barchart.com/quotes/stocks/CORR","80% Sell"
"CORT","http://www.barchart.com/quotes/stocks/CORT","16% Buy"
"COUP","http://www.barchart.com/quotes/stocks/COUP","48% Buy"
"COVS","http://www.barchart.com/quotes/stocks/COVS","32% Sell"
"COWN","http://www.barchart.com/quotes/stocks/COWN","48% Buy"
"CPE","http://www.barchart.com/quotes/stocks/CPE","24% Sell"
"CPF","http://www.barchart.com/quotes/stocks/CPF","80% Buy"
"CPHD","http://www.barchart.com/quotes/stocks/CPHD","80% Buy"
"CPK","http://www.barchart.com/quotes/stocks/CPK","Hold"
"CPLA","http://www.barchart.com/quotes/stocks/CPLA","64% Buy"
"CPS","http://www.barchart.com/quotes/stocks/CPS","100% Sell"
"CPSI","http://www.barchart.com/quotes/stocks/CPSI","8% Sell"
"CPSS","http://www.barchart.com/quotes/stocks/CPSS","40% Buy"
"CPST","http://www.barchart.com/quotes/stocks/CPST","72% Sell"
